tmpcodeclist	<808 éléments>	QList<>
 [627]	"ibm-278"	
 [628]	"IBM278"	
 [629]	"cp278"	
 [630]	"ebcdic-cp-fi"	
 [631]	"ebcdic-cp-se"	
 [632]	"csIBM278"	
 [633]	"ebcdic-sv"	
 [634]	"278"	
 [635]	"ibm-280_P100-1995"	
 [636]	"ibm-280"	
 [637]	"IBM280"	
 [638]	"CP280"	
 [639]	"ebcdic-cp-it"	
 [640]	"csIBM280"	
 [641]	"280"	
 [642]	"ibm-284_P100-1995"	
 [643]	"ibm-284"	
 [644]	"IBM284"	
 [645]	"CP284"	
 [646]	"ebcdic-cp-es"	
 [647]	"csIBM284"	
 [648]	"cpibm284"	
 [649]	"284"	
 [650]	"ibm-285_P100-1995"	
 [651]	"ibm-285"	
 [652]	"IBM285"	
 [653]	"CP285"	
 [654]	"ebcdic-cp-gb"	
 [655]	"csIBM285"	
 [656]	"cpibm285"	
 [657]	"ebcdic-gb"	
 [658]	"285"	
 [659]	"ibm-290_P100-1995"	
 [660]	"ibm-290"	
 [661]	"IBM290"	
 [662]	"cp290"	
 [663]	"EBCDIC-JP-kana"	
 [664]	"csIBM290"	
 [665]	"ibm-297_P100-1995"	
 [666]	"ibm-297"	
 [667]	"IBM297"	
 [668]	"cp297"	
 [669]	"ebcdic-cp-fr"	
 [670]	"csIBM297"	
 [671]	"cpibm297"	
 [672]	"297"	
 [673]	"ibm-420_X120-1999"	
 [674]	"ibm-420"	
 [675]	"IBM420"	
 [676]	"cp420"	
 [677]	"ebcdic-cp-ar1"	
 [678]	"csIBM420"	
 [679]	"420"	
 [680]	"ibm-424_P100-1995"	
 [681]	"ibm-424"	
 [682]	"IBM424"	
 [683]	"cp424"	
 [684]	"ebcdic-cp-he"	
 [685]	"csIBM424"	
 [686]	"424"	
 [687]	"ibm-500_P100-1995"	
 [688]	"ibm-500"	
 [689]	"IBM500"	
 [690]	"CP500"	
 [691]	"ebcdic-cp-be"	
 [692]	"csIBM500"	
 [693]	"ebcdic-cp-ch"	
 [694]	"500"	
 [695]	"ibm-838_P100-1995"	
 [696]	"ibm-838"	
 [697]	"IBM838"	
 [698]	"IBM-Thai"	
 [699]	"csIBMThai"	
 [700]	"cp838"	
 [701]	"838"	
 [702]	"ibm-9030"	
 [703]	"ibm-870_P100-1995"	
 [704]	"ibm-870"	
 [705]	"IBM870"	
 [706]	"CP870"	
 [707]	"ebcdic-cp-roece"	
 [708]	"ebcdic-cp-yu"	
 [709]	"csIBM870"	
 [710]	"ibm-871_P100-1995"	
 [711]	"ibm-871"	
 [712]	"IBM871"	
 [713]	"ebcdic-cp-is"	
 [714]	"csIBM871"	
 [715]	"CP871"	
 [716]	"ebcdic-is"	
 [717]	"871"	
 [718]	"ibm-918_P100-1995"	
 [719]	"ibm-918"	
 [720]	"IBM918"	
 [721]	"CP918"	
 [722]	"ebcdic-cp-ar2"	
 [723]	"csIBM918"	
 [724]	"ibm-1026_P100-1995"	
 [725]	"ibm-1026"	
 [726]	"IBM1026"	
 [727]	"CP1026"	
 [728]	"csIBM1026"	
 [729]	"1026"	
 [730]	"ibm-1047_P100-1995"	
 [731]	"ibm-1047"	
 [732]	"IBM1047"	
 [733]	"cp1047"	
 [734]	"1047"	
 [735]	"ibm-1140_P100-1997"	
 [736]	"ibm-1140"	
 [737]	"IBM01140"	
 [738]	"CCSID01140"	
 [739]	"CP01140"	
 [740]	"cp1140"	
 [741]	"ebcdic-us-37+euro"	
 [742]	"ibm-1141_P100-1997"	
 [743]	"ibm-1141"	
 [744]	"IBM01141"	
 [745]	"CCSID01141"	
 [746]	"CP01141"	
 [747]	"cp1141"	
 [748]	"ebcdic-de-273+euro"	
 [749]	"ibm-1142_P100-1997"	
 [750]	"ibm-1142"	
 [751]	"IBM01142"	
 [752]	"CCSID01142"	
 [753]	"CP01142"	
 [754]	"cp1142"	
 [755]	"ebcdic-dk-277+euro"	
 [756]	"ebcdic-no-277+euro"	
 [757]	"ibm-1143_P100-1997"	
 [758]	"ibm-1143"	
 [759]	"IBM01143"	
 [760]	"CCSID01143"	
 [761]	"CP01143"	
 [762]	"cp1143"	
 [763]	"ebcdic-fi-278+euro"	
 [764]	"ebcdic-se-278+euro"	
 [765]	"ibm-1144_P100-1997"	
 [766]	"ibm-1144"	
 [767]	"IBM01144"	
 [768]	"CCSID01144"	
 [769]	"CP01144"	
 [770]	"cp1144"	
 [771]	"ebcdic-it-280+euro"	
 [772]	"ibm-1145_P100-1997"	
 [773]	"ibm-1145"	
 [774]	"IBM01145"	
 [775]	"CCSID01145"	
 [776]	"CP01145"	
 [777]	"cp1145"	
 [778]	"ebcdic-es-284+euro"	
 [779]	"ibm-1146_P100-1997"	
 [780]	"ibm-1146"	
 [781]	"IBM01146"	
 [782]	"CCSID01146"	
 [783]	"CP01146"	
 [784]	"cp1146"	
 [785]	"ebcdic-gb-285+euro"	
 [786]	"ibm-1147_P100-1997"	
 [787]	"ibm-1147"	
 [788]	"IBM01147"	
 [789]	"CCSID01147"	
 [790]	"CP01147"	
 [791]	"cp1147"	
 [792]	"ebcdic-fr-297+euro"	
 [793]	"ibm-1148_P100-1997"	
 [794]	"ibm-1148"	
 [795]	"IBM01148"	
 [796]	"CCSID01148"	
 [797]	"CP01148"	
 [798]	"cp1148"	
 [799]	"ebcdic-international-500+euro"	
 [800]	"ibm-1149_P100-1997"	
 [801]	"ibm-1149"	
 [802]	"IBM01149"	
 [803]	"CCSID01149"	
 [804]	"CP01149"	
 [805]	"cp1149"	
 [806]	"ebcdic-is-871+euro"	
 [807]	"TSCII"	

